10044 : ['n.a.', 'ARRANGED', 'n.a.']
10057 : ['n.a.', 'ARRANGED', 'n.a.']
41379 : ['n.a.', 'ARRANGED', 'n.a.']
72902 : ['107 Animal Sciences Laboratory', '01:00PM - 01:50PM', 'F']
72903 : ['313 Mumford Hall', '02:00PM - 02:50PM', 'F']
73014 : ['313 Mumford Hall', '01:00PM - 01:50PM', 'F']
73015 : ['107 Animal Sciences Laboratory', '12:00PM - 12:50PM', 'F']
72901 : ['149 National Soybean Res Ctr', '01:00PM - 01:50PM', 'MW']
73096 : ['313 Mumford Hall', '10:00AM - 10:50AM', 'F']
73097 : ['313 Mumford Hall', '11:00AM - 11:50AM', 'F']
36772 : ['132 Bevier Hall', '10:00AM - 10:50AM', 'TR']
65659 : ['n.a.n.a.', '04:00PM - 04:50PM0000ARRANGED', 'M      n.a.']
65658 : ['ARR Washington DC', '05:30PM - 07:30PM', 'M']
65063 : ['134 Temple Hoyne Buell Hall', '02:00PM - 02:50PM', 'MW']
65167 : ['62 Krannert Art Museum', '11:00AM - 11:50AM', 'TR']
65064 : ['150 Animal Sciences Laboratory', '02:00PM - 02:50PM', 'R']
44207 : ['103 Mumford Hall', '03:00PM - 03:50PM', 'MW']
53592 : ['114 David Kinley Hall', '12:00PM - 12:50PM', 'MWF']
60156 : ['AUD Foellinger Auditorium', '08:00AM - 09:20AM', 'MW']
70958 : ['n.a.', '09:00AM - 10:50AM', 'TR']
75104 : ['29\\/30 ACES Lib, Info & Alum Ctrn.a.', '09:00AM - 10:50AM090009:00AM - 10:50AM', 'T      R']
75105 : ['n.a.', '09:00AM - 10:50AM', 'TR']
75106 : ['29\\/30 ACES Lib, Info & Alum Ctrn.a.', '09:00AM - 10:50AM090009:00AM - 10:50AM', 'T      R']
10068 : ['n.a.', 'ARRANGED', 'n.a.']
61498 : ['Location Pending', 'ARRANGED', 'n.a.']
52115 : ['n.a.', 'ARRANGED', 'n.a.']
60144 : ['Location Pending', 'ARRANGED', 'n.a.']
58583 : ['Location Pending', 'ARRANGED', 'n.a.']
73629 : ['n.a.', '02:00PM - 03:00PM', 'M']
48924 : ['213 Gregory Hall', '02:00PM - 03:20PM', 'TR']
48925 : ['213 Gregory Hall', '02:00PM - 03:20PM', 'TR']
62829 : ['166 Bevier Hall', '11:00AM - 12:20PM', 'MW']
64899 : ['103 Mumford Hall', '12:30PM - 01:50PM', 'TR']
43123 : ['1000 Lincoln Hall', '03:30PM - 04:50PM', 'TR']
29710 : ['n.a.', 'ARRANGED', 'n.a.']
51727 : ['103 Mumford Halln.a.', '05:00PM - 06:20PM0000ARRANGED', 'T      n.a.']
51728 : ['103 Mumford Halln.a.', '05:00PM - 06:20PM0000ARRANGED', 'T      n.a.']
47126 : ['n.a.', '04:00PM - 05:50PM', 'MW']
